"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:02:18","24.4240","18.6847","21.8957","18.6006","21.8572"
"00:02:19","24.4239","18.6902","21.8956","18.6061","21.8645"
"00:02:20","24.4239","18.6901","21.8974","18.6097","21.8626"
"00:02:21","24.4241","18.6885","21.8995","18.6044","21.8591"
"00:02:22","24.4242","18.6830","21.8940","18.6082","21.8482"
"00:02:23","24.4242","18.6886","21.8940","18.6063","21.8592"
"00:02:24","24.4242","18.6793","21.8885","18.6045","21.8519"
"00:02:25","24.4243","18.6850","21.8887","18.5954","21.8575"
"00:02:26","24.4243","18.6850","21.8923","18.5991","21.8502"
"00:02:27","24.4244","18.6795","21.9090","18.5880","21.8484"
"00:02:28","24.4245","18.6833","21.8925","18.5899","21.8503"
"00:02:29","24.4245","18.6815","21.8998","18.5899","21.8558"
"00:02:30","24.4245","18.6703","21.8870","18.5843","21.8503"
"00:02:31","24.4247","18.6742","21.8834","18.5826","21.8468"
"00:02:32","24.4247","18.6743","21.8872","18.5846","21.8524"
"00:02:33","24.4248","18.6799","21.8909","18.5847","21.8488"
"00:02:34","24.4250","18.6745","21.8874","18.5867","21.8545"
"00:02:35","24.4248","18.6725","21.9425","18.5791","21.8506"
"00:02:36","24.4250","18.6745","21.8856","18.5867","21.8471"
"00:02:37","24.4250","18.6782","21.8948","18.5830","21.8526"
"00:02:38","24.4250","18.6764","21.8967","18.5886","21.8656"
"00:02:39","24.4251","18.6765","21.8931","18.5868","21.8564"
"00:02:40","24.4251","18.6784","21.8949","18.5850","21.8638"
"00:02:41","24.4252","18.6840","21.9042","18.5906","21.8694"
"00:02:42","24.4253","18.6841","21.9061","18.5944","21.8713"
"00:02:43","24.4254","18.6786","21.9062","18.5796","21.8622"
"00:02:44","24.4254","18.6713","21.9026","18.5779","21.8586"
"00:02:45","24.4254","18.6694","21.8953","18.5816","21.8660"
"00:02:46","24.4255","18.6751","21.9009","18.5835","21.8624"
"00:02:47","24.4256","18.6807","21.9046","18.5892","21.8716"
"00:02:48","24.4257","18.6845","21.9139","18.5874","21.8662"
"00:02:49","24.4257","18.6845","21.9157","18.5930","21.8809"
"00:02:50","24.4257","18.6864","21.9232","18.5912","21.8773"
"00:02:51","24.4257","18.6772","21.9103","18.5856","21.8736"
"00:02:52","24.4257","18.6716","21.9085","18.5745","21.8608"
"00:02:53","24.4259","18.6661","21.9031","18.5727","21.8609"
"00:02:54","24.4259","18.6773","21.9086","18.5820","21.8756"
"00:02:55","24.4259","18.6736","21.9086","18.5783","21.8683"
"00:02:56","24.4261","18.6700","21.9088","18.5729","21.8703"
"00:02:57","24.4261","18.6700","21.9106","18.5766","21.8739"
"00:02:58","24.4261","18.6683","21.9088","18.5767","21.8685"
"00:02:59","24.4262","18.6702","21.9126","18.5786","21.8741"
"00:03:00","24.4262","18.6720","21.9108","18.5786","21.8741"
"00:03:01","24.4264","18.6778","21.9201","18.5900","21.8816"
"00:03:02","24.4264","18.6797","21.9256","18.5918","21.8871"
"00:03:03","24.4265","18.6817","21.9258","18.5846","21.8873"
"00:03:04","24.4265","18.6817","21.9221","18.5827","21.8818"
"00:03:05","24.4266","18.6836","21.9222","18.5883","21.8837"
"00:03:06","24.4266","18.6706","21.9222","18.5772","21.8837"
"00:03:07","24.4267","18.6762","21.9259","18.5884","21.8911"
"00:03:08","24.4268","18.6819","21.9260","18.5848","21.8875"
"00:03:09","24.4268","18.6671","21.9298","18.5867","21.8894"
"00:03:10","24.4269","18.6820","21.9317","18.5868","21.8895"
"00:03:11","24.4270","18.6914","21.9318","18.5832","21.8914"
"00:03:12","24.4270","18.6747","21.9244","18.5794","21.8878"
"00:03:13","24.4270","18.6673","21.9281","18.5832","21.8914"
"00:03:14","24.4271","18.6748","21.9245","18.5795","21.8860"
"00:03:15","24.4272","18.6711","21.9227","18.5796","21.8842"
"00:03:16","24.4272","18.6693","21.9172","18.5833","21.8879"
"00:03:17","24.4272","18.6657","21.9191","18.5815","21.8806"
"00:03:18","24.4273","18.6694","21.9321","18.5872","21.8991"
"00:03:19","24.4273","18.6769","21.9303","18.5909","21.8918"
"00:03:20","24.4274","18.6732","21.9174","18.5817","21.8845"
"00:03:21","24.4275","18.6770","21.9359","18.5873","21.8919"
"00:03:22","24.4276","18.6753","21.9378","18.5893","21.8957"
"00:03:23","24.4276","18.6790","21.9378","18.5893","21.8902"
"00:03:24","24.4276","18.6772","21.9416","18.5987","21.9086"
"00:03:25","24.4276","18.6828","21.9379","18.5950","21.9031"
"00:03:26","24.4277","18.6810","21.9435","18.5987","21.8995"
"00:03:27","24.4278","18.6848","21.9436","18.5970","21.9014"
"00:03:28","24.4278","18.6829","21.8811","18.5895","21.9051"
"00:03:29","24.4279","18.6849","21.9474","18.5971","21.9034"
"00:03:30","24.4279","18.6831","21.9401","18.5971","21.9053"
"00:03:31","24.4280","18.6776","21.9457","18.5953","21.9072"
"00:03:32","24.4279","18.6757","21.9401","18.5897","21.8997"
"00:03:33","24.4281","18.6814","21.9421","18.5917","21.8999"
"00:03:34","24.4281","18.6758","21.9421","18.5898","21.9036"
"00:03:35","24.4283","18.6871","21.9459","18.6011","21.9056"
"00:03:36","24.4283","18.6853","21.9514","18.5974","21.9019"
"00:03:37","24.4284","18.6835","21.9405","18.5939","21.9057"
"00:03:38","24.4283","18.6742","21.9497","18.5975","21.9001"
"00:03:39","24.4283","18.6798","21.9423","18.5919","21.9038"
"00:03:40","24.4285","18.6818","21.9461","18.5958","21.9058"
"00:03:41","24.4285","18.6818","21.9461","18.5939","21.9058"
"00:03:42","24.4285","18.6855","21.9498","18.5958","21.9021"
"00:03:43","24.4286","18.6707","21.9370","18.5866","21.8967"
"00:03:44","24.4286","18.6652","21.9316","18.5830","21.8931"
"00:03:45","24.4286","18.6726","21.9408","18.5867","21.8986"
"00:03:46","24.4287","18.6690","21.9445","18.5867","21.9005"
"00:03:47","24.4287","18.6746","21.9445","18.5849","21.9042"
"00:03:48","24.4288","18.6821","21.9538","18.5887","21.9061"
"00:03:49","24.4288","18.6765","21.9446","18.5924","21.9080"
"00:03:50","24.4289","18.6692","21.9466","18.5832","21.9062"
"00:03:51","24.4289","18.6766","21.9484","18.5888","21.9081"
"00:03:52","24.4290","18.6805","21.9541","18.5982","21.9137"
"00:03:53","24.4290","18.6786","21.9540","18.5889","21.9155"
"00:03:54","24.4290","18.6823","21.9596","18.5927","21.9119"
"00:03:55","24.4291","18.6824","21.9505","18.5890","21.9138"
"00:03:56","24.4292","18.6806","21.9505","18.5909","21.9065"
"00:03:57","24.4292","18.6695","21.9487","18.5779","21.9065"
"00:03:58","24.4292","18.6713","21.9487","18.5872","21.9102"
"00:03:59","24.4292","18.6713","21.9505","18.5816","21.9083"
"00:04:00","24.4294","18.6789","21.9636","18.5948","21.9159"
"00:04:01","24.4294","18.6864","21.9599","18.5874","21.9177"
"00:04:02","24.4294","18.7013","21.9618","18.5912","21.9233"
"00:04:03","24.4294","18.6809","21.9581","18.5893","21.9215"
"00:04:04","24.4294","18.6734","21.9581","18.5856","21.9196"
"00:04:05","24.4295","18.6847","21.9692","18.5968","21.9271"
