"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:03:29","23.3832","22.0539","22.6522","22.2278","22.7314"
"00:03:30","23.3828","22.0554","22.6536","22.2164","22.7328"
"00:03:31","23.3823","22.0605","22.6568","22.2086","22.7343"
"00:03:32","23.3820","22.0583","22.6547","22.1955","22.7376"
"00:03:33","23.3816","22.0560","22.6487","22.1840","22.7316"
"00:03:34","23.3812","22.0538","22.6539","22.1891","22.7368"
"00:03:35","23.3808","22.0497","22.6480","22.1832","22.7272"
"00:03:36","23.3804","22.0383","22.6401","22.1735","22.7212"
"00:03:37","23.3801","22.0361","22.6417","22.1824","22.7228"
"00:03:38","23.3797","22.0248","22.6340","22.1748","22.7151"
"00:03:39","23.3793","22.0280","22.6373","22.1780","22.7165"
"00:03:40","23.3788","22.0294","22.6313","22.1757","22.7179"
"00:03:41","23.3785","22.0272","22.6383","22.1717","22.7176"
"00:03:42","23.3782","22.0288","22.6454","22.1788","22.7246"
"00:03:43","23.3778","22.0375","22.6505","22.1839","22.7260"
"00:03:44","23.3774","22.0353","22.6482","22.1798","22.7275"
"00:03:45","23.3770","22.0368","22.6497","22.1849","22.7234"
"00:03:46","23.3766","22.0327","22.6530","22.1846","22.7230"
"00:03:47","23.3763","22.0323","22.6508","22.1860","22.7282"
"00:03:48","23.3759","22.0356","22.6430","22.1801","22.7278"
"00:03:49","23.3754","22.0297","22.6444","22.1778","22.7218"
"00:03:50","23.3751","22.0257","22.6423","22.1757","22.7252"
"00:03:51","23.3747","22.0307","22.6418","22.1807","22.7229"
"00:03:52","23.3744","22.0396","22.6526","22.1951","22.7318"
"00:03:53","23.3738","22.0336","22.6502","22.1946","22.7368"
"00:03:54","23.3735","22.0351","22.6444","22.1962","22.7273"
"00:03:55","23.3732","22.0367","22.6441","22.1977","22.7233"
"00:03:56","23.3728","22.0307","22.6418","22.1917","22.7192"
"00:03:57","23.3725","22.0322","22.6433","22.1896","22.7244"
"00:03:58","23.3720","22.0391","22.6447","22.1910","22.7295"
"00:03:59","23.3716","22.0332","22.6443","22.1851","22.7291"
"00:04:00","23.3713","22.0365","22.6458","22.1773","22.7287"
"00:04:01","23.3708","22.0398","22.6490","22.1769","22.7356"
"00:04:02","23.3705","22.0413","22.6542","22.1839","22.7371"
"00:04:03","23.3700","22.0427","22.6556","22.1890","22.7348"
"00:04:04","23.3697","22.0479","22.6645","22.2052","22.7401"
"00:04:05","23.3693","22.0456","22.6603","22.1974","22.7378"
"00:04:06","23.3690","22.0471","22.6582","22.1971","22.7411"
"00:04:07","23.3687","22.0468","22.6598","22.1932","22.7390"
"00:04:08","23.3682","22.0409","22.6575","22.1762","22.7386"
"00:04:09","23.3680","22.0406","22.6591","22.1722","22.7383"
"00:04:10","23.3675","22.0420","22.6605","22.1773","22.7342"
"00:04:11","23.3672","22.0343","22.6546","22.1622","22.7356"
"00:04:12","23.3668","22.0449","22.6652","22.1802","22.7389"
"00:04:13","23.3664","22.0446","22.6667","22.1890","22.7441"
"00:04:14","23.3661","22.0424","22.6664","22.1924","22.7456"
"00:04:15","23.3657","22.0365","22.6605","22.2031","22.7434"
"00:04:16","23.3653","22.0453","22.6693","22.2100","22.7449"
"00:04:17","23.3650","22.0450","22.6580","22.2079","22.7501"
"00:04:18","23.3646","22.0464","22.6630","22.2038","22.7441"
"00:04:19","23.3643","22.0479","22.6682","22.2034","22.7475"
"00:04:20","23.3638","22.0475","22.6641","22.2012","22.7507"
"00:04:21","23.3635","22.0454","22.6601","22.1898","22.7449"
"00:04:22","23.3631","22.0523","22.6707","22.1931","22.7500"
"00:04:23","23.3628","22.0593","22.6778","22.2001","22.7625"
"00:04:24","23.3624","22.0626","22.6811","22.2016","22.7585"
"00:04:25","23.3620","22.0512","22.6733","22.1920","22.7526"
"00:04:26","23.3616","22.0508","22.6748","22.2008","22.7448"
"00:04:27","23.3613","22.0504","22.6652","22.2078","22.7500"
"00:04:28","23.3610","22.0538","22.6723","22.2148","22.7478"
"00:04:29","23.3606","22.0589","22.6737","22.2200","22.7622"
"00:04:30","23.3602","22.0567","22.6733","22.2086","22.7507"
"00:04:31","23.3598","22.0545","22.6730","22.1990","22.7485"
"00:04:32","23.3594","22.0505","22.6652","22.1839","22.7426"
"00:04:33","23.3591","22.0409","22.6593","22.1725","22.7386"
"00:04:34","23.3587","22.0368","22.6553","22.1574","22.7345"
"00:04:35","23.3584","22.0402","22.6642","22.1626","22.7397"
"00:04:36","23.3580","22.0453","22.6675","22.1659","22.7430"
"00:04:37","23.3576","22.0358","22.6579","22.1563","22.7371"
"00:04:38","23.3572","22.0371","22.6611","22.1522","22.7422"
"00:04:39","23.3569","22.0387","22.6682","22.1629","22.7456"
"00:04:40","23.3566","22.0402","22.6642","22.1700","22.7471"
"00:04:41","23.3563","22.0436","22.6768","22.1715","22.7523"
"00:04:42","23.3559","22.0395","22.6745","22.1638","22.7482"
"00:04:43","23.3555","22.0428","22.6705","22.1524","22.7516"
"00:04:44","23.3550","22.0424","22.6755","22.1482","22.7566"
"00:04:45","23.3547","22.0366","22.6697","22.1571","22.7508"
"00:04:46","23.3544","22.0288","22.6749","22.1549","22.7468"
"00:04:47","23.3540","22.0321","22.6690","22.1564","22.7482"
"00:04:48","23.3537","22.0300","22.6632","22.1561","22.7498"
"00:04:49","23.3533","22.0278","22.6628","22.1575","22.7512"
"00:04:50","23.3530","22.0256","22.6661","22.1535","22.7454"
"00:04:51","23.3526","22.0216","22.6602","22.1440","22.7395"
"00:04:52","23.3522","22.0212","22.6654","22.1454","22.7446"
"00:04:53","23.3519","22.0245","22.6650","22.1450","22.7406"
"00:04:54","23.3515","22.0186","22.6591","22.1410","22.7439"
"00:04:55","23.3511","22.0219","22.6661","22.1388","22.7472"
"00:04:56","23.3508","22.0142","22.6603","22.1348","22.7432"
"00:04:57","23.3503","22.0119","22.6580","22.1251","22.7391"
"00:04:58","23.3500","22.0172","22.6614","22.1267","22.7388"
"00:04:59","23.3497","22.0168","22.6591","22.1300","22.7421"
"00:05:00","23.3493","22.0090","22.6624","22.1296","22.7398"
"00:05:01","23.3490","22.0143","22.6695","22.1440","22.7414"
"00:05:02","23.3486","22.0102","22.6617","22.1583","22.7447"
"00:05:03","23.3482","22.0098","22.6614","22.1709","22.7388"
"00:05:04","23.3479","22.0205","22.6684","22.1926","22.7495"
"00:05:05","23.3476","22.0221","22.6718","22.1978","22.7474"
"00:05:06","23.3472","22.0309","22.6733","22.2085","22.7580"
"00:05:07","23.3468","22.0341","22.6783","22.1970","22.7557"
"00:05:08","23.3465","22.0357","22.6707","22.1765","22.7462"
"00:05:09","23.3461","22.0389","22.6795","22.1742","22.7569"
"00:05:10","23.3458","22.0423","22.6810","22.1702","22.7566"
"00:05:11","23.3454","22.0401","22.6788","22.1625","22.7581"
"00:05:12","23.3450","22.0379","22.6803","22.1548","22.7558"
"00:05:13","23.3447","22.0339","22.6708","22.1508","22.7555"
"00:05:14","23.3443","22.0353","22.6740","22.1595","22.7532"
"00:05:15","23.3439","22.0368","22.6773","22.1573","22.7492"
"00:05:16","23.3435","22.0290","22.6769","22.1551","22.7543"
"00:05:17","23.3431","22.0213","22.6636","22.1455","22.7447"
"00:05:18","23.3428","22.0173","22.6615","22.1397","22.7463"
"00:05:19","23.3425","22.0224","22.6740","22.1375","22.7532"
"00:05:20","23.3421","22.0294","22.6791","22.1573","22.7639"
"00:05:21","23.3417","22.0290","22.6769","22.1514","22.7580"
"00:05:22","23.3414","22.0195","22.6729","22.1493","22.7503"
"00:05:23","23.3409","22.0264","22.6743","22.1452","22.7517"
"00:05:24","23.3406","22.0170","22.6612","22.1375","22.7478"
"00:05:25","23.3402","22.0202","22.6662","22.1463","22.7473"
"00:05:26","23.3399","22.0180","22.6678","22.1515","22.7470"
"00:05:27","23.3395","22.0287","22.6803","22.1621","22.7540"
"00:05:28","23.3391","22.0210","22.6707","22.1544","22.7499"
"00:05:29","23.3388","22.0206","22.6685","22.1522","22.7551"
"00:05:30","23.3384","22.0257","22.6773","22.1499","22.7528"
"00:05:31","23.3381","22.0292","22.6789","22.1516","22.7600"
"00:05:32","23.3377","22.0268","22.6747","22.1493","22.7503"
"00:05:33","23.3373","22.0228","22.6725","22.1452","22.7610"
"00:05:34","23.3369","22.0224","22.6758","22.1411","22.7569"
"00:05:35","23.3365","22.0256","22.6790","22.1517","22.7583"
"00:05:36","23.3362","22.0235","22.6751","22.1680","22.7599"
"00:05:37","23.3358","22.0250","22.6784","22.1750","22.7595"
"00:05:38","23.3354","22.0264","22.6798","22.1838","22.7591"
"00:05:39","23.3350","22.0353","22.6831","22.1779","22.7605"
"00:05:40","23.3347","22.0258","22.6773","22.1684","22.7547"
"00:05:41","23.3343","22.0253","22.6695","22.1735","22.7561"
"00:05:42","23.3340","22.0305","22.6766","22.1732","22.7466"
"00:05:43","23.3336","22.0246","22.6725","22.1636","22.7499"
"00:05:44","23.3333","22.0298","22.6685","22.1614","22.7588"
"00:05:45","23.3328","22.0312","22.6699","22.1591","22.7547"
"00:05:46","23.3326","22.0328","22.6752","22.1571","22.7581"
"00:05:47","23.3321","22.0397","22.6802","22.1566","22.7613"
"00:05:48","23.3318","22.0413","22.6855","22.1655","22.7610"
"00:05:49","23.3315","22.0373","22.6870","22.1707","22.7589"
"00:05:50","23.3311","22.0350","22.6829","22.1721","22.7566"
"00:05:51","23.3307","22.0328","22.6678","22.1607","22.7525"
"00:05:52","23.3304","22.0288","22.6767","22.1604","22.7504"
"00:05:53","23.3300","22.0266","22.6763","22.1490","22.7574"
"00:05:54","23.3296","22.0299","22.6722","22.1431","22.7552"
"00:05:55","23.3293","22.0204","22.6701","22.1409","22.7475"
"00:05:56","23.3290","22.0218","22.6679","22.1442","22.7545"
"00:05:57","23.3286","22.0196","22.6712","22.1291","22.7467"
"00:05:58","23.3282","22.0174","22.6689","22.1287","22.7482"
"00:05:59","23.3279","22.0189","22.6723","22.1432","22.7571"
"00:06:00","23.3274","22.0221","22.6737","22.1372","22.7511"
"00:06:01","23.3271","22.0145","22.6661","22.1406","22.7453"
"00:06:02","23.3268","22.0215","22.6731","22.1311","22.7468"
"00:06:03","23.3265","22.0138","22.6691","22.1270","22.7520"
